country,sector,buyer_signal,query,search_query,review_goal,seed_csv_instruction,notes
Finland,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official Finland,ferry booking official Finland Finland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Finland where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official Finland"".",Transport booking sites are good AgentReady prospects
Finland,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Finland,hotel group direct booking Finland Finland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Finland where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Finland"".",Hotel chains often need machine-readable booking and location pages
Finland,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies ecommerce Finland,industrial supplies ecommerce Finland Finland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Finland where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies ecommerce Finland"".",B2B catalogs need structured product and quote pages
Finland,Manufacturer catalog,Technical product data and dealer routing live online,building products manufacturer Finland,building products manufacturer Finland Finland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Finland where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""building products manufacturer Finland"".",Manufacturers need agent-readable specs and partner routing
Finland,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Finland,attraction tickets official Finland Finland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Finland where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Finland"".",Ticketed venues need accessible schedules and booking context
Poland,Travel and direct booking,Booking or timetable flow is website-led,bus company online tickets Poland,bus company online tickets Poland Poland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Poland where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""bus company online tickets Poland"".",Transport booking sites are good AgentReady prospects
Poland,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Poland,hotel group direct booking Poland Poland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Poland where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Poland"".",Hotel chains often need machine-readable booking and location pages
Poland,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies ecommerce Poland,industrial supplies ecommerce Poland Poland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Poland where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies ecommerce Poland"".",B2B catalogs need structured product and quote pages
Poland,Manufacturer catalog,Technical product data and dealer routing live online,furniture manufacturer product catalog Poland,furniture manufacturer product catalog Poland Poland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Poland where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""furniture manufacturer product catalog Poland"".",Manufacturers need agent-readable specs and partner routing
Poland,Attractions and ticketing,Ticket purchase or availability is website-led,museum tickets official Poland,museum tickets official Poland Poland -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Poland where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""museum tickets official Poland"".",Ticketed venues need accessible schedules and booking context
Czechia,Travel and direct booking,Booking or timetable flow is website-led,bus company online tickets Czechia,bus company online tickets Czechia Czechia -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Czechia where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""bus company online tickets Czechia"".",Transport booking sites are good AgentReady prospects
Czechia,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Czechia,hotel group direct booking Czechia Czechia -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Czechia where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Czechia"".",Hotel chains often need machine-readable booking and location pages
Czechia,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies ecommerce Czechia,industrial supplies ecommerce Czechia Czechia -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Czechia where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies ecommerce Czechia"".",B2B catalogs need structured product and quote pages
Czechia,Manufacturer catalog,Technical product data and dealer routing live online,machinery manufacturer product catalog Czechia,machinery manufacturer product catalog Czechia Czechia -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Czechia where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""machinery manufacturer product catalog Czechia"".",Manufacturers need agent-readable specs and partner routing
Czechia,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Czechia,attraction tickets official Czechia Czechia -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Czechia where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Czechia"".",Ticketed venues need accessible schedules and booking context
Greece,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official Greece,ferry booking official Greece Greece -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Greece where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official Greece"".",Transport booking sites are good AgentReady prospects
Greece,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Greece,hotel group direct booking Greece Greece -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Greece where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Greece"".",Hotel chains often need machine-readable booking and location pages
Greece,B2B ecommerce,Product catalog is the primary sales interface,hotel supplies online shop Greece,hotel supplies online shop Greece Greece -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Greece where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""hotel supplies online shop Greece"".",B2B catalogs need structured product and quote pages
Greece,Manufacturer catalog,Technical product data and dealer routing live online,building materials manufacturer Greece,building materials manufacturer Greece Greece -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Greece where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""building materials manufacturer Greece"".",Manufacturers need agent-readable specs and partner routing
Greece,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Greece,attraction tickets official Greece Greece -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Greece where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Greece"".",Ticketed venues need accessible schedules and booking context
Portugal,Travel and direct booking,Booking or timetable flow is website-led,ferry booking official Portugal,ferry booking official Portugal Portugal -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Portugal where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""ferry booking official Portugal"".",Transport booking sites are good AgentReady prospects
Portugal,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Portugal,hotel group direct booking Portugal Portugal -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Portugal where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Portugal"".",Hotel chains often need machine-readable booking and location pages
Portugal,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies online shop Portugal,industrial supplies online shop Portugal Portugal -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Portugal where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies online shop Portugal"".",B2B catalogs need structured product and quote pages
Portugal,Manufacturer catalog,Technical product data and dealer routing live online,ceramics manufacturer product catalog Portugal,ceramics manufacturer product catalog Portugal Portugal -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Portugal where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""ceramics manufacturer product catalog Portugal"".",Manufacturers need agent-readable specs and partner routing
Portugal,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Portugal,attraction tickets official Portugal Portugal -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Portugal where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Portugal"".",Ticketed venues need accessible schedules and booking context
Romania,Travel and direct booking,Booking or timetable flow is website-led,bus company online tickets Romania,bus company online tickets Romania Romania -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Romania where booking or timetable flow is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Travel and direct booking"" and source ""bus company online tickets Romania"".",Transport booking sites are good AgentReady prospects
Romania,Hospitality and direct booking,Rooms and offers are sold through the website,hotel group direct booking Romania,hotel group direct booking Romania Romania -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Romania where rooms and offers are sold through the website indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Hospitality and direct booking"" and source ""hotel group direct booking Romania"".",Hotel chains often need machine-readable booking and location pages
Romania,B2B ecommerce,Product catalog is the primary sales interface,industrial supplies ecommerce Romania,industrial supplies ecommerce Romania Romania -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Romania where product catalog is the primary sales interface indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""B2B ecommerce"" and source ""industrial supplies ecommerce Romania"".",B2B catalogs need structured product and quote pages
Romania,Manufacturer catalog,Technical product data and dealer routing live online,furniture manufacturer catalog Romania,furniture manufacturer catalog Romania Romania -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Romania where technical product data and dealer routing live online indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Manufacturer catalog"" and source ""furniture manufacturer catalog Romania"".",Manufacturers need agent-readable specs and partner routing
Romania,Attractions and ticketing,Ticket purchase or availability is website-led,attraction tickets official Romania,attraction tickets official Romania Romania -jobs -career -linkedin -facebook -instagram -privacy -terms,Find official company websites in Romania where ticket purchase or availability is website-led indicates the website is part of the customer journey.,"Add reviewed official sites to data/prospect-seeds.csv with sector ""Attractions and ticketing"" and source ""attraction tickets official Romania"".",Ticketed venues need accessible schedules and booking context
